job_level,avg_salary_onsite,avg_salary_remote,premium_pct,count_onsite,count_remote
MI_Data Operations,63882.5,115266.66666666667,80.43543484783262,16,6
MI_Data Platform Engineer,111321.16666666667,200383.33333333334,80.00470111254673,6,6
MI_Database Administrator,74325.33333333333,133160.0,79.15829506314583,6,6
SE_Bioinformatician,82984.4375,142555.0,71.785221777276,16,10
EX_Data Analysis,132375.0,215237.5,62.59678942398489,8,8
EN_Associate,92056.23170731707,130374.54545454546,41.624899299655624,82,11
MI_Postdoctoral Fellow,78614.05,110166.66666666667,40.13610374566209,60,6
EN_Insight Analyst,62287.854166666664,86401.8,38.71372060564243,48,20
MI_Data Quality Analyst,74625.0,103100.0,38.1574539363484,8,10
MI_Data Governance Analyst,102686.97222222222,132750.0,29.276379590508483,36,8
EN_Data Specialist,56698.25,72951.10344827586,28.665529268144706,120,29
SE_Data Developer,114705.95652173914,146799.77777777778,27.979210695964348,46,18
EN_Data Integration Specialist,75298.0,94341.66666666667,25.291065721090426,6,6
SE_ETL Developer,120406.25,148817.0,23.595743576433946,16,10
EX_Executive,195021.30434782608,240989.07142857142,23.570638723018952,69,14
SE_System Engineer,174150.525,214579.16666666666,23.21476875631966,40,6
SE_Data Team Lead,122639.68181818182,151033.33333333334,23.152091634782803,44,6
MI_Insight Analyst,76457.6,94153.55,23.144788745657717,20,20
EX_Analyst,144631.42857142858,177500.0,22.725746231801025,70,8
SE_Data Operations Lead,140178.5,170300.0,21.487959993864965,6,6
MI_Data Quality Engineer,91633.45833333333,110314.66666666667,20.386885612651504,24,12
SE_Machine Learning Software Engineer,200500.0,240440.0,19.920199501246884,6,5
EX_Data Engineer,191148.90765765766,228109.5,19.336020694681512,444,132
MI_Data Modeler,114293.31666666667,135527.8,18.578937030292956,60,10
EX_AI Engineer,192274.3,227500.0,18.32054517946497,50,8
EN_Business Analyst,91618.27810650888,107252.41176470589,17.06442642375562,169,34
MI_Statistical Programmer,113531.5,132876.4375,17.039268837283046,28,16
MI_Cloud Database Administrator,102283.33333333333,119666.66666666667,16.995274564119285,6,6
EX_Data Management,168196.15384615384,196609.0,16.892684823123187,26,8
MI_Backend Engineer,143369.4,166405.7142857143,16.067804068172357,40,28
MI_Data Analytics Manager,126550.50588235294,144935.4,14.52771286014335,170,30
MI_Data Developer,109601.18421052632,125483.78571428571,14.491268153865434,76,14
EN_Product Analyst,100723.70370370371,114906.5,14.08089235679563,54,20
MI_Data Governance,108999.65,124345.0,14.078347957998036,40,10
MI_Data Strategist,115871.9,131814.38461538462,13.758715111588426,40,26
SE_BI Analyst,112735.97222222222,128194.6447876448,13.712280349124804,72,259
MI_Data Integration Specialist,86561.0,98130.20588235294,13.36537919196051,24,34
SE_Data Quality Lead,144169.34615384616,161530.0,12.041848221762706,52,8
SE_Data Governance,154147.8208955224,172590.8947368421,11.964537503141203,134,38
EN_Data Reporting Analyst,60458.11538461538,67290.0,11.300194476659305,26,10
SE_Data Management,125791.21739130435,139440.3,10.850584716289713,46,10
MI_Associate,133921.11980440098,148011.47552447554,10.521384334789225,1636,286
EX_Business Intelligence,185402.8918918919,203969.5,10.014195527723626,74,16
MI_Data Product Owner,121716.6551724138,133843.39285714287,9.963088180127308,58,28
SE_Full Stack Engineer,167907.40350877194,183708.14705882352,9.410391215552394,114,34
MI_BI Engineer,102510.59375,112145.57142857143,9.399006801257,32,14
MI_Full Stack Engineer,141724.64285714287,154444.44444444444,8.975010506904583,42,18
SE_Sales Engineer,162250.0,176638.33333333334,8.868002054442739,8,6
EX_Data Scientist,192552.42647058822,209339.19736842104,8.71802615294331,204,76
EN_Developer,81365.53333333334,88299.33333333333,8.52179014373816,60,6
MI_Research Associate,77123.27102803739,83600.66666666667,8.398756370531137,214,12
SE_Analytics Manager,158071.5,171333.33333333334,8.389768764978724,6,6
MI_Product Owner,126074.56923076924,136542.85714285713,8.303250985475543,65,14
SE_Solutions Engineer,177240.13736263735,191803.11363636365,8.216522786782834,182,88
SE_Data Lead,141868.57518796992,153324.65,8.075132069840873,266,40
SE_Cloud Engineer,151422.61428571428,163575.73529411765,8.025961687249731,70,34
SE_Data Manager,119593.71126760563,129156.14772727272,7.995768638929489,284,88
SE_Data Product Owner,130456.74137931035,140869.44444444444,7.981728621335534,58,18
SE_Principal Statistical Programmer,158255.31914893616,170799.66666666666,7.926651429595768,47,12
SE_Fullstack Engineer,173333.33333333334,186981.0,7.87365384615384,12,10
MI_Prompt Engineer,129557.0,138923.07692307694,7.2293098196754615,33,13
SE_Product Analyst,145544.74444444446,155767.82352941178,7.0240111547755335,90,34
SE_Software Development Engineer,188204.37958115182,201108.45238095237,6.856414727711711,382,42
MI_Applied Scientist,176513.49014084507,188231.73913043478,6.638727147845412,710,23
EX_Head of Data,218935.6929460581,233407.82539682538,6.610220679883831,241,63
SE_Data Platform Engineer,157084.8,167424.08333333334,6.581975680227084,20,12
EX_Data Governance,186939.9423076923,198924.83333333334,6.411091646703622,104,24
MI_Business Intelligence Manager,139435.0,148100.0,6.214365116362463,20,10
MI_Data Visualization Developer,115537.5,122318.35714285714,5.868966476561415,8,14
SE_Data Strategist,143034.2857142857,150950.5625,5.534530931644763,42,16
MI_Data Manager,92794.88245614035,97323.81818181818,4.880587814547252,570,88
SE_Staff Engineer,175984.03125,184519.64285714287,4.850219390086207,32,14
SE_Encounter Data Management Professional,85020.0,89060.0,4.751823100446954,10,10
SE_Full Stack Developer,137522.88461538462,143884.375,4.6257685783764595,52,24
SE_Data Specialist,112634.3105590062,117774.21951219512,4.5633598924514684,161,41
MI_Data Governance Manager,122903.23809523809,128476.75,4.534877999262296,42,8
EN_Business Intelligence Developer,82919.03846153847,86627.91666666667,4.472890995773601,26,12
MI_Data Governance Specialist,96881.36666666667,100572.63636363637,3.8100925120823357,30,22
EN_Actuarial Analyst,89166.66666666667,92500.0,3.73831775700934,6,6
MI_Encounter Data Management Professional,65760.0,68037.5,3.4633515815085154,10,16
SE_Data Architect,159246.40682095007,164651.53469387756,3.3941914174583485,1642,490
EX_Engineer,240487.76047904193,248136.21739130435,3.18039342086558,334,46
MI_Systems Engineer,161003.43233082705,165657.63636363635,2.890748330908823,266,22
MI_Data Operations Engineer,103380.65,105780.27777777778,2.3211575645711138,20,18
EN_Data Governance Analyst,101489.78571428571,103835.75,2.3115274795422804,56,16
SE_Data Analyst,122410.89758726899,125146.7354606279,2.23496267675717,3896,1943
EX_Head of AI,250527.14583333334,254750.0,1.6855874650310225,48,12
SE_Engineering Manager,245646.79098360657,249038.71875,1.380815011998181,244,64
SE_Data Management Lead,135890.57894736843,137634.0,1.2829594708745884,38,22
MI_Consultant,106392.94886363637,107481.93333333333,1.0235494751562115,352,120
SE_Analytics Lead,158548.52173913043,160133.3,0.9995541071502948,92,30
MI_Business Intelligence,134778.25,136083.33333333334,0.9683189485939631,56,24
SE_Data Integration Engineer,143976.9642857143,145191.83333333334,0.8437940427804916,28,6
SE_Consultant,134261.45512820513,135132.72222222222,0.6489331529925161,624,144
